potential,current
 1.000E-0003,-4.27252E-0008
 2.000E-0003,-7.93469E-0008
 3.000E-0003,-1.40383E-0007
 4.000E-0003,-1.70901E-0007
 5.000E-0003,-2.01419E-0007
 6.000E-0003,-2.34988E-0007
 7.000E-0003,-2.62455E-0007
 8.000E-0003,-2.59403E-0007
 9.000E-0003,-2.89921E-0007
 1.000E-0002,-2.99076E-0007
 1.100E-0002,-3.05180E-0007
 1.200E-0002,-3.11284E-0007
 1.300E-0002,-3.23491E-0007
 1.400E-0002,-3.29594E-0007
 1.500E-0002,-3.23491E-0007
 1.600E-0002,-3.23491E-0007
 1.700E-0002,-3.29594E-0007
 1.800E-0002,-3.35698E-0007
 1.900E-0002,-3.41802E-0007
 2.000E-0002,-3.47905E-0007
 2.100E-0002,-3.57061E-0007
 2.200E-0002,-3.54009E-0007
 2.300E-0002,-3.66216E-0007
 2.400E-0002,-3.72320E-0007
 2.500E-0002,-3.60112E-0007
 2.600E-0002,-3.78423E-0007
 2.700E-0002,-3.84527E-0007
 2.800E-0002,-3.72320E-0007
 2.900E-0002,-3.78423E-0007
 3.000E-0002,-4.02838E-0007
 3.100E-0002,-4.08941E-0007
 3.200E-0002,-3.96734E-0007
 3.300E-0002,-3.90630E-0007
 3.400E-0002,-3.90630E-0007
 3.500E-0002,-3.96734E-0007
 3.600E-0002,-3.90630E-0007
 3.700E-0002,-4.02838E-0007
 3.800E-0002,-4.08941E-0007
 3.900E-0002,-4.08941E-0007
 4.000E-0002,-4.15045E-0007
 4.100E-0002,-4.02838E-0007
 4.200E-0002,-4.21149E-0007
 4.300E-0002,-4.24200E-0007
 4.400E-0002,-4.33356E-0007
 4.500E-0002,-4.21149E-0007
 4.600E-0002,-4.21149E-0007
 4.700E-0002,-4.08941E-0007
 4.800E-0002,-4.42511E-0007
 4.900E-0002,-4.39459E-0007
 5.000E-0002,-4.51667E-0007
 5.100E-0002,-4.51667E-0007
 5.200E-0002,-4.39459E-0007
 5.300E-0002,-3.99786E-0007
 5.400E-0002,-4.15045E-0007
 5.500E-0002,-4.33356E-0007
 5.600E-0002,-3.96734E-0007
 5.700E-0002,-4.33356E-0007
 5.800E-0002,-4.39459E-0007
 5.900E-0002,-4.45563E-0007
 6.000E-0002,-4.45563E-0007
 6.100E-0002,-4.33356E-0007
 6.200E-0002,-4.45563E-0007
 6.300E-0002,-4.45563E-0007
 6.400E-0002,-4.51667E-0007
 6.500E-0002,-4.76081E-0007
 6.600E-0002,-4.69977E-0007
 6.700E-0002,-4.88288E-0007
 6.800E-0002,-4.82185E-0007
 6.900E-0002,-4.76081E-0007
 7.000E-0002,-4.76081E-0007
 7.100E-0002,-4.69977E-0007
 7.200E-0002,-4.76081E-0007
 7.300E-0002,-4.60822E-0007
 7.400E-0002,-4.76081E-0007
 7.500E-0002,-4.69977E-0007
 7.600E-0002,-4.76081E-0007
 7.700E-0002,-4.73029E-0007
 7.800E-0002,-4.82185E-0007
 7.900E-0002,-4.76081E-0007
 8.000E-0002,-4.82185E-0007
 8.100E-0002,-4.82185E-0007
 8.200E-0002,-4.76081E-0007
 8.300E-0002,-4.88288E-0007
 8.400E-0002,-4.69977E-0007
 8.500E-0002,-4.76081E-0007
 8.600E-0002,-4.82185E-0007
 8.700E-0002,-4.94392E-0007
 8.800E-0002,-4.94392E-0007
 8.900E-0002,-4.88288E-0007
 9.000E-0002,-4.88288E-0007
 9.100E-0002,-4.82185E-0007
 9.200E-0002,-4.94392E-0007
 9.300E-0002,-4.88288E-0007
 9.400E-0002,-4.94392E-0007
 9.500E-0002,-4.97444E-0007
 9.600E-0002,-4.88288E-0007
 9.700E-0002,-5.06599E-0007
 9.800E-0002,-5.06599E-0007
 9.900E-0002,-5.00495E-0007
 1.000E-0001,-4.94392E-0007
 1.010E-0001,-4.82185E-0007
 1.020E-0001,-4.91340E-0007
 1.030E-0001,-4.76081E-0007
 1.040E-0001,-5.12703E-0007
 1.050E-0001,-5.18806E-0007
 1.060E-0001,-5.12703E-0007
 1.070E-0001,-5.03547E-0007
 1.080E-0001,-5.06599E-0007
 1.090E-0001,-5.00495E-0007
 1.100E-0001,-5.00495E-0007
 1.110E-0001,-5.06599E-0007
 1.120E-0001,-4.94392E-0007
 1.130E-0001,-5.18806E-0007
 1.140E-0001,-5.24910E-0007
 1.150E-0001,-5.12703E-0007
 1.160E-0001,-5.06599E-0007
 1.170E-0001,-5.18806E-0007
 1.180E-0001,-5.37117E-0007
 1.190E-0001,-5.34065E-0007
 1.200E-0001,-5.24910E-0007
 1.210E-0001,-5.24910E-0007
 1.220E-0001,-5.21858E-0007
 1.230E-0001,-5.24910E-0007
 1.240E-0001,-5.24910E-0007
 1.250E-0001,-5.24910E-0007
 1.260E-0001,-5.31013E-0007
 1.270E-0001,-5.37117E-0007
 1.280E-0001,-5.43221E-0007
 1.290E-0001,-5.31013E-0007
 1.300E-0001,-5.40169E-0007
 1.310E-0001,-5.31013E-0007
 1.320E-0001,-5.49324E-0007
 1.330E-0001,-5.18806E-0007
 1.340E-0001,-5.43221E-0007
 1.350E-0001,-5.43221E-0007
 1.360E-0001,-5.46272E-0007
 1.370E-0001,-5.67635E-0007
 1.380E-0001,-5.64583E-0007
 1.390E-0001,-5.64583E-0007
 1.400E-0001,-5.67635E-0007
 1.410E-0001,-5.73739E-0007
 1.420E-0001,-5.55428E-0007
 1.430E-0001,-5.73739E-0007
 1.440E-0001,-5.64583E-0007
 1.450E-0001,-5.61532E-0007
 1.460E-0001,-5.67635E-0007
 1.470E-0001,-5.67635E-0007
 1.480E-0001,-5.70687E-0007
 1.490E-0001,-5.55428E-0007
 1.500E-0001,-5.67635E-0007
 1.510E-0001,-5.64583E-0007
 1.520E-0001,-5.67635E-0007
 1.530E-0001,-5.85946E-0007
 1.540E-0001,-5.73739E-0007
 1.550E-0001,-5.73739E-0007
 1.560E-0001,-5.73739E-0007
 1.570E-0001,-5.76791E-0007
 1.580E-0001,-5.79842E-0007
 1.590E-0001,-5.79842E-0007
 1.600E-0001,-5.79842E-0007
 1.610E-0001,-5.85946E-0007
 1.620E-0001,-5.76791E-0007
 1.630E-0001,-5.92050E-0007
 1.640E-0001,-5.92050E-0007
 1.650E-0001,-5.98153E-0007
 1.660E-0001,-5.92050E-0007
 1.670E-0001,-5.98153E-0007
 1.680E-0001,-5.85946E-0007
 1.690E-0001,-6.04257E-0007
 1.700E-0001,-5.98153E-0007
 1.710E-0001,-6.19516E-0007
 1.720E-0001,-6.22568E-0007
 1.730E-0001,-6.10360E-0007
 1.740E-0001,-5.92050E-0007
 1.750E-0001,-5.92050E-0007
 1.760E-0001,-6.16464E-0007
 1.770E-0001,-5.73739E-0007
 1.780E-0001,-6.04257E-0007
 1.790E-0001,-6.16464E-0007
 1.800E-0001,-6.16464E-0007
 1.810E-0001,-6.25619E-0007
 1.820E-0001,-6.16464E-0007
 1.830E-0001,-6.28671E-0007
 1.840E-0001,-6.28671E-0007
 1.850E-0001,-6.31723E-0007
 1.860E-0001,-6.59189E-0007
 1.870E-0001,-6.65293E-0007
 1.880E-0001,-6.68345E-0007
 1.890E-0001,-6.65293E-0007
 1.900E-0001,-6.53086E-0007
 1.910E-0001,-6.71396E-0007
 1.920E-0001,-6.71396E-0007
 1.930E-0001,-6.62241E-0007
 1.940E-0001,-6.59189E-0007
 1.950E-0001,-6.71396E-0007
 1.960E-0001,-6.71396E-0007
 1.970E-0001,-6.77500E-0007
 1.980E-0001,-6.77500E-0007
 1.990E-0001,-6.77500E-0007
 2.000E-0001,-6.86655E-0007
 2.010E-0001,-6.71396E-0007
 2.020E-0001,-6.77500E-0007
 2.030E-0001,-6.89707E-0007
